"X1"	"X2"	"X3"
3.6391	0.745237665669752	16.7955918262251
3.6392	0.745211438051207	16.7959501609309
3.6393	0.74518521233316	16.7963084856391
3.6394	0.745158988515401	16.7966668003502
3.6395	0.745132766597718	16.7970251050648
3.6396	0.745106546579899	16.7973833997834
3.6397	0.745080328461732	16.7977416845068
3.6398	0.745054112243008	16.7980999592353
3.6399	0.745027897923514	16.7984582239697
3.64	0.745001685503039	16.7988164787105
3.6401	0.744975474981371	16.7991747234581
3.6402	0.744949266358301	16.7995329582134
3.6403	0.744923059633615	16.7998911829767
3.6404	0.744896854807104	16.8002493977487
3.6405	0.744870651878556	16.8006076025299
3.6406	0.744844450847759	16.800965797321
3.6407	0.744818251714504	16.8013239821225
3.6408	0.744792054478578	16.8016821569349
3.6409	0.744765859139771	16.8020403217589
3.641	0.744739665697872	16.802398476595
3.6411	0.74471347415267	16.8027566214438
3.6412	0.744687284503954	16.8031147563059
3.6413	0.744661096751513	16.8034728811818
3.6414	0.744634910895136	16.8038309960721
3.6415	0.744608726934613	16.8041891009775
3.6416	0.744582544869732	16.8045471958983
3.6417	0.744556364700283	16.8049052808353
3.6418	0.744530186426056	16.8052633557891
3.6419	0.744504010046839	16.8056214207601
3.642	0.744477835562422	16.8059794757489
3.6421	0.744451662972593	16.8063375207562
3.6422	0.744425492277144	16.8066955557825
3.6423	0.744399323475862	16.8070535808283
3.6424	0.744373156568538	16.8074115958943
3.6425	0.744346991554961	16.807769600981
3.6426	0.744320828434921	16.808127596089
3.6427	0.744294667208206	16.8084855812189
3.6428	0.744268507874608	16.8088435563712
3.6429	0.744242350433914	16.8092015215465
3.643	0.744216194885915	16.8095594767454
3.6431	0.744190041230401	16.8099174219684
3.6432	0.744163889467161	16.8102753572162
3.6433	0.744137739595986	16.8106332824892
3.6434	0.744111591616664	16.8109911977881
3.6435	0.744085445528986	16.8113491031135
3.6436	0.744059301332741	16.8117069984659
3.6437	0.74403315902772	16.8120648838458
3.6438	0.744007018613712	16.8124227592539
3.6439	0.743980880090508	16.8127806246908
3.644	0.743954743457896	16.8131384801569
3.6441	0.743928608715668	16.8134963256529
3.6442	0.743902475863612	16.8138541611793
3.6443	0.74387634490152	16.8142119867368
3.6444	0.743850215829181	16.8145698023258
3.6445	0.743824088646386	16.814927607947
3.6446	0.743797963352924	16.8152854036009
3.6447	0.743771839948587	16.8156431892881
3.6448	0.743745718433164	16.8160009650092
3.6449	0.743719598806443	16.8163587307647
3.645	0.743693481068219	16.8167164865552
3.6451	0.743667365218279	16.8170742323812
3.6452	0.743641251256414	16.8174319682435
3.6453	0.743615139182414	16.8177896941424
3.6454	0.743589028996071	16.8181474100786
3.6455	0.743562920697174	16.8185051160527
3.6456	0.743536814285514	16.8188628120652
3.6457	0.743510709760881	16.8192204981167
3.6458	0.743484607123066	16.8195781742078
3.6459	0.74345850637186	16.819935840339
3.646	0.743432407507052	16.8202934965109
3.6461	0.743406310528434	16.8206511427241
3.6462	0.743380215435797	16.8210087789792
3.6463	0.74335412222893	16.8213664052766
3.6464	0.743328030907625	16.8217240216171
3.6465	0.743301941471673	16.822081628001
3.6466	0.743275853920864	16.8224392244292
3.6467	0.743249768254989	16.822796810902
3.6468	0.743223684473838	16.82315438742
3.6469	0.743197602577204	16.8235119539839
3.647	0.743171522564876	16.8238695105942
3.6471	0.743145444436646	16.8242270572515
3.6472	0.743119368192303	16.8245845939563
3.6473	0.743093293831641	16.8249421207092
3.6474	0.74306722135445	16.8252996375108
3.6475	0.743041150760519	16.8256571443616
3.6476	0.743015082049642	16.8260146412622
3.6477	0.742989015221608	16.8263721282132
3.6478	0.74296295027621	16.8267296052152
3.6479	0.742936887213237	16.8270870722687
3.648	0.742910826032482	16.8274445293742
3.6481	0.742884766733734	16.8278019765324
3.6482	0.742858709316788	16.8281594137439
3.6483	0.742832653781432	16.8285168410091
3.6484	0.742806600127459	16.8288742583287
3.6485	0.74278054835466	16.8292316657032
3.6486	0.742754498462826	16.8295890631331
3.6487	0.742728450451748	16.8299464506192
3.6488	0.742702404321219	16.8303038281618
3.6489	0.74267636007103	16.8306611957617
3.649	0.742650317700971	16.8310185534193
3.6491	0.742624277210836	16.8313759011353
3.6492	0.742598238600414	16.8317332389101
3.6493	0.742572201869499	16.8320905667444
3.6494	0.742546167017881	16.8324478846387
3.6495	0.742520134045352	16.8328051925936
3.6496	0.742494102951705	16.8331624906097
3.6497	0.742468073736729	16.8335197786875
3.6498	0.742442046400219	16.8338770568276
3.6499	0.742416020941964	16.8342343250306
3.65	0.742389997361758	16.834591583297
3.6501	0.742363975659392	16.8349488316274
3.6502	0.742337955834657	16.8353060700224
3.6503	0.742311937887347	16.8356632984824
3.6504	0.742285921817252	16.8360205170082
3.6505	0.742259907624164	16.8363777256002
3.6506	0.742233895307877	16.8367349242591
3.6507	0.742207884868181	16.8370921129853
3.6508	0.742181876304869	16.8374492917795
3.6509	0.742155869617732	16.8378064606422
3.651	0.742129864806565	16.8381636195741
3.6511	0.742103861871157	16.8385207685755
3.6512	0.742077860811301	16.8388779076472
3.6513	0.742051861626791	16.8392350367897
3.6514	0.742025864317417	16.8395921560035
